,product_name,Ram,New_back_camera,battery,Internal_storage,display,rating,no_of_ratings,no_of_reviews,price
0,Redmi 8 (S,4,12,5000,64,6.22,4.4,573823,44394,9799
1,Realme Nar,4,48,5000,128,6.5,4.5,39631,3110,11999
2,Realme Nar,4,48,5000,128,6.5,4.5,39631,3110,11999
3,Redmi Note,6,64,4500,128,6.53,4.5,42822,3432,16999
4,Realme 6 (,8,64,4300,128,6.5,4.4,16944,1687,17999
5,Realme Nar,4,12,5000,64,6.52,4.6,6015,468,9999
6,Realme Nar,4,12,5000,64,6.52,4.6,6015,468,9999
7,Realme Nar,3,12,5000,32,6.52,4.6,21449,1559,8999
8,Realme Nar,3,12,5000,32,6.52,4.6,21449,1559,8999
9,Samsung Ga,3,13,5000,32,6.4,4.3,1550,121,10999
10,OPPO A12 (,3,13,4230,32,6.22,4.4,4057,271,9990
11,OPPO A12 (,3,13,4230,32,6.22,4.4,4057,271,9990
12,Samsung Ga,3,13,5000,32,6.4,4.3,1550,121,12067
13,Samsung Ga,4,13,5000,64,6.4,4.3,1046,72,14289
14,Vivo Z1x (,8,48,4500,128,6.38,4.4,13542,1353,18990
15,Vivo Z1x (,6,48,4500,64,6.38,4.4,136907,14591,16990
16,Vivo Z1x (,6,48,4500,64,6.38,4.4,136907,14591,16990
17,Vivo Z1x (,8,48,4500,128,6.38,4.4,13542,1353,18990
18,OPPO A31 (,6,12,4230,128,6.5,4.3,887,68,14990
19,OPPO A31 (,4,12,4230,64,6.5,4.4,4251,304,12490
20,OPPO A31 (,6,12,4230,128,6.5,4.3,887,68,14990
21,OPPO A31 (,4,12,4230,64,6.5,4.4,4251,304,12490
22,Samsung Ga,4,48,5000,64,6.5,4.3,477,45,16499
23,OPPO A52 (,6,12,5000,128,6.5,4.4,300,25,16990
24,Vivo Y50 (,8,13,5000,128,6.53,4.4,821,57,17990
25,Vivo Y50 (,8,13,5000,128,6.53,4.4,821,57,17990
26,Vivo S1 Pr,8,48,4500,128,6.38,4.4,8857,647,19990
27,Vivo Y11 (,3,13,5000,32,6.35,4.4,2609,113,11999
28,Vivo Y11 (,3,13,5000,32,6.35,4.4,2609,113,11999
29,Samsung Ga,3,13,5000,32,6.4,4.3,1550,121,11897
30,Samsung Ga,6,48,5000,64,6.5,4.4,169,15,18499
31,Samsung Ga,4,13,5000,64,6.4,4.3,1046,72,14416
32,Infinix No,4,16,4000,64,5.93,3.9,1404,205,10999
33,Redmi K20 ,6,48,4000,128,6.39,4.5,58249,7257,26999
