product_name,Ram,New_back_camera,battery,Internal_storage,display,rating,price
Redmi 8 (S,4,12,5000,64,6.22,4.4,9799
Realme Nar,4,48,5000,128,6.5,4.5,11999
Realme Nar,4,48,5000,128,6.5,4.5,11999
Redmi Note,6,64,4500,128,6.53,4.5,16999
Realme 6 (,8,64,4300,128,6.5,4.4,17999
Realme Nar,4,12,5000,64,6.52,4.6,9999
Realme Nar,4,12,5000,64,6.52,4.6,9999
Realme Nar,3,12,5000,32,6.52,4.6,8999
Realme Nar,3,12,5000,32,6.52,4.6,8999
Samsung Ga,3,13,5000,32,6.4,4.3,10999
OPPO A12 (,3,13,4230,32,6.22,4.4,9990
OPPO A12 (,3,13,4230,32,6.22,4.4,9990
Samsung Ga,3,13,5000,32,6.4,4.3,12067
Samsung Ga,4,13,5000,64,6.4,4.3,14289
Vivo Z1x (,8,48,4500,128,6.38,4.4,18990
Vivo Z1x (,6,48,4500,64,6.38,4.4,16990
Vivo Z1x (,6,48,4500,64,6.38,4.4,16990
Vivo Z1x (,8,48,4500,128,6.38,4.4,18990
OPPO A31 (,6,12,4230,128,6.5,4.3,14990
OPPO A31 (,4,12,4230,64,6.5,4.4,12490
OPPO A31 (,6,12,4230,128,6.5,4.3,14990
OPPO A31 (,4,12,4230,64,6.5,4.4,12490
Samsung Ga,4,48,5000,64,6.5,4.3,16499
OPPO A52 (,6,12,5000,128,6.5,4.4,16990
Vivo Y50 (,8,13,5000,128,6.53,4.4,17990
Vivo Y50 (,8,13,5000,128,6.53,4.4,17990
Vivo S1 Pr,8,48,4500,128,6.38,4.4,19990
Vivo Y11 (,3,13,5000,32,6.35,4.4,11999
Vivo Y11 (,3,13,5000,32,6.35,4.4,11999
Samsung Ga,3,13,5000,32,6.4,4.3,11897
Samsung Ga,6,48,5000,64,6.5,4.4,18499
Samsung Ga,4,13,5000,64,6.4,4.3,14416
Infinix No,4,16,4000,64,5.93,3.9,10999
Redmi K20 ,6,48,4000,128,6.39,4.5,26999
Vivo Y19 (,4,16,5000,128,6.53,4.4,14990
Vivo Y19 (,4,16,5000,128,6.53,4.4,14990
Vivo Y91i ,3,13,4030,32,6.22,4.4,10799
Panasonic ,3,13,4000,32,6.22,4,8985
Vivo Y91i ,2,13,4030,32,6.22,4.4,7990
Realme X (,4,48,3765,128,6.53,4.5,17999
Vivo V19 (,8,48,4500,128,6.44,4.4,27990
Vivo V19 (,8,48,4500,128,6.44,4.4,27990
Vivo V19 (,8,48,4500,256,6.44,4.4,31990
Vivo V19 (,8,48,4500,256,6.44,4.4,31990
Redmi Note,6,64,4500,64,6.53,4.5,15999
Samsung Ga,4,13,5000,64,6.4,4.3,14185
Samsung Ga,8,48,4500,128,6.7,4.5,42999
OPPO F15 (,8,48,4000,128,6.4,4.4,18990
iQOO 3 (Qu,8,48,4440,128,6.44,4.4,34990
iQOO 3 (Qu,8,48,4440,256,6.44,4.4,37990
iQOO 3 (To,8,48,4440,128,6.44,4.4,34990
Redmi K20 ,6,48,4000,64,6.39,4.5,21999
Motorola G,4,16,5000,64,6.5,4.5,9499
Realme X2 ,8,64,4000,128,6.5,4.6,31999
Realme X2 ,12,64,4000,256,6.5,4.6,35999
Realme X2 ,12,64,4000,256,6.5,4.6,35999
Realme X2 ,8,64,4000,128,6.5,4.6,31999
Realme X2 ,8,64,4000,128,6.5,4.6,31999
Redmi K20 ,8,48,4000,256,6.39,4.5,29999
Vivo S1 (S,4,16,4500,128,6.38,4.5,16990
Vivo S1 (S,6,16,4500,64,6.38,4.5,18990
Panasonic ,4,16,4000,64,6.2,3.9,9999
Samsung Ga,6,25,4000,64,6.4,4.4,18999
Samsung Ga,6,25,4000,64,6.4,4.4,20949
Samsung Ga,6,48,4000,128,6.4,4.4,25999
Panasonic ,2,8,3000,16,5.45,3.9,6499
Motorola G,4,16,5000,64,6.5,4.5,9499
Samsung Ga,6,64,4500,128,6.7,4.2,25900
Huawei Y9 ,4,16,4000,128,6.59,4.3,16899
Vivo Y12 (,3,13,5000,64,6.3,4.4,13599
Mi A3 (Kin,6,48,4030,128,6.08,4.3,17475
OPPO K1 (A,6,16,3600,64,6.41,4.4,13990
OPPO K1 (P,6,16,3600,64,6.41,4.4,13990
Redmi K20 ,8,48,4000,256,6.39,4.5,29999
Honor 20 (,6,48,3750,128,6.26,4.4,22999
Honor 20 (,6,48,3750,128,6.26,4.4,22999
Realme XT ,4,64,4000,64,6.4,4.5,16999
Nokia 3.2 ,3,13,4000,32,6.26,4.1,10942
Vivo V15 P,6,48,3700,128,6.39,4.5,21099
Samsung Ga,8,64,4500,128,6.7,4.4,34990
Redmi Note,4,12,4000,64,5.99,4.5,15999
Blackbear ,64,1,2500,64,2.4,4,1079
Samsung Ga,8,48,4500,512,6.7,4.5,47999
Samsung Ga,4,13,5000,64,6.4,4.3,16390
Nokia 2.3 ,2,13,4000,32,6.2,4,9990
Redmi K20 ,8,48,4000,256,6.39,4.5,29999
I Kall K60,2,5,2200,16,5,2.9,4699
Black Shar,12,48,4000,256,6.39,4.4,42499
Vivo NEX (,8,12,4000,128,6.59,4.2,29990
OPPO Reno2,8,48,4000,128,6.5,4.5,21990
Nokia 3.2 ,3,13,4000,32,6.26,4.1,11965
Redmi K20 ,6,48,4000,128,6.39,4.5,24999
OnePlus 7 ,8,48,4000,256,6.67,4.6,43499
Blackberry,4,13,4000,64,5.99,3.7,15999
Realme X2 ,6,64,4000,64,6.5,4.5,29999
Nubia Red ,8,48,5000,128,6.6,4.2,38999
Alcatel 5V,3,16,4000,32,6.2,4.5,9690
Moto One (,4,13,3000,64,5.9,4.1,14999
Redmi K20 ,6,48,4000,128,6.39,4.5,24999
Realme XT ,4,64,4000,64,6.4,4.5,16999
Moto One (,4,13,3000,64,5.9,4.1,14999
OnePlus 7T,8,48,4085,256,6.67,4.6,47927
Google Pix,4,12,3700,64,6,4.5,34999
Samsung Ga,8,12,4500,128,6.7,4.5,39999
POCO F1 (S,6,12,4000,128,6.18,4.5,18999
Samsung Ga,8,64,4500,128,6.7,4.4,34990
OPPO R17 P,8,12,3700,128,6.4,4.1,31590
Nokia 3310,16,2,1200,32,2.4,3.8,3866
Tecno Camo,6,48,4000,128,6.53,4.3,15999
Nokia 6.1 ,4,16,3000,64,5.5,4,14998
Realme 3 P,6,16,4045,128,6.3,4.5,16999
Realme 3 P,6,16,4045,64,6.3,4.5,15999
Alcatel 5V,3,16,4000,32,6.2,4.5,12999
OPPO F11 P,6,48,4000,128,6.5,4.4,17990
Redmi K20 ,6,48,4000,128,6.39,4.5,24999
OPPO Reno2,8,48,4000,256,6.5,4.5,38990
Samsung Ga,4,16,4000,64,6.4,4.4,18000
Samsung Ga,8,48,3700,128,6.7,4.5,40900
OnePlus 7 ,8,48,3700,256,6.41,4.6,37999
XOLO ERA 3,3,13,3000,16,5,3.9,8499
Jmax M40 &,32,1,1050,32,1.8,3.6,1149
Jmax M40 &,32,1,1050,32,1.8,3.6,1149
Jmax M40 &,32,1,1050,32,1.8,3.6,1149
Jmax M40 &,32,1,1050,32,1.8,3.6,1149
Jmax M40 &,32,1,1050,32,1.8,3.6,1149
Jmax M40 &,32,1,1050,32,1.8,3.6,1149
Jmax M40 &,32,1,1050,32,1.8,3.6,1149
Jmax M40 &,32,1,1050,32,1.8,3.6,1149
Jmax M40 &,32,1,1050,32,1.8,3.6,1149
Mi 10 (Twi,8,108,4780,128,6.67,4.8,52620
Mi 10 (Cor,8,108,4780,128,6.67,4.8,51980
Mi 10 (Twi,8,108,4780,256,6.67,4.8,51980
Vivo V15 P,8,48,3700,128,6.39,4.5,28499
Jmax M43 C,32,1,1050,32,1.8,4.1,1149
Lava PRIME,32,1,1200,32,2.4,4.1,1550
Motorola E,12,108,5000,256,6.7,4.2,74999
Gionee A1 ,4,13,4010,64,5.5,4,21499
Samsung Ga,4,48,6000,128,6.4,4.3,18490
Samsung Ga,8,64,4500,128,6.7,4.5,77999
Easyfone G,32,2,1050,32,2.3,3.4,3599
Jmax M40 C,32,1,1050,32,1.8,3.5,1149
Jmax M40 C,32,1,1050,32,1.8,3.5,1149
Jmax M40 C,32,1,1050,32,1.8,3.5,1149
Jmax M40 C,32,1,1050,32,1.8,3.5,1149
Jmax M40 C,32,1,1050,32,1.8,3.5,1149
Jmax M40 C,32,1,1050,32,1.8,3.5,1149
OPPO Find ,8,16,3730,256,6.4,4.6,60990
OPPO A9 20,8,48,5000,128,6.5,4.3,21990
Lenovo Z6 ,8,48,4000,128,6.39,3.8,26999
Yu Yureka ,4,13,3000,32,5,4,9990
Samsung Ga,4,16,4000,64,6.4,4.4,18000
Vivo V11 (,6,16,3315,64,6.3,4.5,24990
OPPO A5s (,4,13,4230,64,6.2,4.3,14999
Redmi 6 (B,3,12,3000,64,5.45,4.4,10495
Vivo V11 (,6,16,3315,64,6.3,4.5,24990
Honor 9N (,4,13,3000,128,5.84,4.3,19999
Honor 9N (,4,13,3000,128,5.84,4.3,19999
Honor 10 L,3,13,3400,32,6.21,4.4,13999
Redmi Note,3,12,4000,32,5.99,4.4,10999
SSKY S-70 ,32,1,2500,32,1.8,4.1,899
Motorola O,4,12,3500,128,6.3,4.2,10999
Motorola O,4,48,3500,128,6.3,4.1,14999
Blackbear ,64,1,1050,64,1.8,3.7,799
LG V30+ (B,4,16,3300,128,6,4.3,24999
POCO F1 (R,8,12,4000,256,6.18,4.5,22999
POCO F1 (G,8,12,4000,256,6.18,4.5,22999
Vivo V15 (,6,12,4000,64,6.53,4.4,21099
Lenovo VIB,2,13,4900,32,5.5,4.1,15999
Samsung Ga,8,64,4000,128,6.2,4.4,70499
Vivo V15 P,8,48,3700,128,6.39,4.5,28450
MI3 (Metal,2,13,3050,16,5,4.4,13999
Mi A2 (Bla,6,20,3010,128,5.99,4.1,16899
Honor 9i (,4,16,3340,64,5.9,4.3,19999
Nokia 3310,16,2,1200,32,2.4,3.8,3847
Gionee F10,3,13,2400,16,5,3.9,8990
