battery,camera,display,no_of_ratings,no_of_reviews,price,product_name,ram,rating
5000 mAh Battery,12MP + 2MP | 8MP Front Camera,15.8 cm (6.22 inch) HD+ Display,"5,73,823 Ratings "," 44,394 Reviews","₹9,799","Redmi 8 (Sapphire Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,4.4
5000 mAh Lithium-ion Battery,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) HD+ Display,"39,631 Ratings "," 3,110 Reviews","₹11,999","Realme Narzo 10 (That White, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,4.5
5000 mAh Lithium-ion Battery,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) HD+ Display,"39,631 Ratings "," 3,110 Reviews","₹11,999","Realme Narzo 10 (That Green, 128 GB)",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,4.5
4500 mAh Li-polymer Battery,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,16.59 cm (6.53 inch) Full HD+ Display,"42,822 Ratings "," 3,432 Reviews","₹16,999","Redmi Note 8 Pro (Halo White, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,4.5
4300 mAh Battery,64MP + 8MP + 2MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,"16,944 Ratings "," 1,687 Reviews","₹17,999","Realme 6 (Comet White, 128 GB)",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,4.4
5000 mAh Lithium-ion Battery,12MP + 2MP + 2MP | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,"6,015 Ratings ", 468 Reviews,"₹9,999","Realme Narzo 10A (So Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,4.6
5000 mAh Lithium-ion Battery,12MP + 2MP + 2MP | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,"6,015 Ratings ", 468 Reviews,"₹9,999","Realme Narzo 10A (So White, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,4.6
5000 mAh Lithium-ion Battery,12MP + 2MP + 2MP | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,"21,449 Ratings "," 1,559 Reviews","₹8,999","Realme Narzo 10A (So Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,4.6
5000 mAh Lithium-ion Battery,12MP + 2MP + 2MP | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,"21,449 Ratings "," 1,559 Reviews","₹8,999","Realme Narzo 10A (So White, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,4.6
5000 mAh Lithium-ion Battery,13MP + 5MP + 2MP | 8MP Front Camera,16.26 cm (6.4 inch) HD+ Display,"1,550 Ratings ", 121 Reviews,"₹10,999","Samsung Galaxy M11 (Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,4.3
